active_cust,expenditure,months_on_network,Num_complaints,number_plan_changes,relocated,monthly_bill,technical_issues_per_month,Speed_test_result
0,1325.6,73,4,1,0,128,4,85
0,1320.0,73,4,1,0,165,4,85
1,1315.2,75,4,1,0,89,4,85
1,1311.2,76,4,1,0,164,4,85
1,1312.8,76,4,1,0,163,4,85
1,1309.6,75,4,1,0,158,4,85
1,1283.2,81,4,1,0,166,4,85
1,1287.2,81,4,1,0,175,4,85
1,1282.4,81,4,1,0,171,4,85
1,1280.8,80,4,1,0,177,4,85
1,1281.6,82,4,1,0,169,4,85
1,1276.0,82,4,1,0,175,4,85
1,1274.4,82,4,1,0,169,4,85
1,1275.2,84,4,1,0,178,4,85
1,1274.4,83,4,1,0,165,4,85
1,1273.6,83,4,1,0,43,4,85
1,1268.0,83,4,1,0,32,4,85
1,1273.6,83,4,1,0,39,4,85
1,1307.2,76,4,1,1,43,4,85
1,1303.2,76,4,1,1,33,4,85
1,1361.6,66,4,1,0,36,4,85
1,1393.6,62,4,1,0,76,4,85
1,1389.6,63,4,1,0,174,4,85
1,1384.0,63,4,1,0,50,4,85
1,1370.4,65,4,1,0,50,4,85
1,1332.8,72,4,1,0,180,4,85
1,1317.6,73,4,1,0,82,4,85
1,1299.2,77,4,1,0,78,4,85
1,1303.2,76,4,1,0,132,4,85
1,1291.2,79,4,1,0,40,4,85
1,1288.0,80,4,1,0,46,4,85
1,1288.0,80,4,1,0,80,4,85
1,1288.8,80,4,1,0,86,4,85
1,1290.4,80,4,1,0,93,4,85
1,1277.6,81,4,1,0,86,4,85
1,1275.2,82,4,1,0,80,4,85
1,1279.2,82,4,1,0,76,4,85
1,1275.2,83,4,1,0,82,4,85
1,1275.2,82,4,1,0,80,4,85
1,1276.8,83,4,1,0,87,4,85
1,1270.4,83,4,1,0,93,4,85
1,1311.2,75,4,1,0,94,4,85
1,1328.8,72,4,1,0,88,4,85
1,1328.8,73,4,1,0,92,4,85
1,1329.6,72,4,1,0,82,4,85
1,1319.2,73,4,1,0,86,4,85
1,1364.0,66,4,1,0,36,4,85
1,1328.8,72,4,1,0,128,4,85
1,1317.6,73,4,1,0,45,4,85
1,1321.6,73,4,1,0,36,4,85
1,1283.2,80,4,1,0,43,4,85
1,1285.6,81,4,1,0,39,4,85
1,1285.6,80,4,1,0,40,4,85
1,1284.8,79,4,1,0,48,4,85
0,1288.0,80,4,1,0,38,4,85
0,1285.6,80,4,1,0,47,4,85
1,1288.0,80,4,1,0,35,4,85
0,1308.8,75,4,1,0,89,4,85
0,1308.8,76,4,1,0,34,4,85
1,1303.2,76,4,1,0,52,4,85
1,1296.8,78,4,1,0,49,4,85
1,1292.8,78,4,1,0,42,4,85
1,1306.4,76,4,1,0,44,4,85
1,1342.4,70,4,1,0,79,4,85
1,1312.0,75,4,1,0,88,4,85
1,1309.6,75,4,1,0,130,4,85
1,1319.2,74,4,1,0,34,4,85
1,1313.6,74,4,1,0,87,4,85
1,1297.6,78,4,1,0,131,4,85
1,1300.0,77,4,1,0,44,4,85
1,1285.6,81,4,1,0,119,4,85
1,1284.0,81,4,1,0,42,4,85
1,1284.0,80,4,1,0,179,4,85
1,1293.6,78,4,1,0,177,4,85
1,1284.8,80,4,1,0,177,4,85
1,1298.4,78,4,1,0,168,4,85
1,1291.2,78,4,1,0,180,4,85
0,1296.0,79,4,1,0,167,4,85
0,1314.4,75,4,1,0,179,4,85
1,1310.4,75,4,1,0,165,4,85
1,1297.6,78,4,1,0,180,4,85
1,1300.8,78,4,1,0,164,4,85
1,1297.6,78,4,1,0,170,4,85
1,1296.0,78,4,1,0,178,4,85
1,1290.4,79,4,1,0,171,4,85
1,1301.6,78,4,1,0,161,4,85
1,1300.8,77,4,1,0,180,4,85
1,1300.0,78,4,1,0,170,4,85
1,1292.8,79,4,1,0,76,4,85
0,1292.0,79,4,1,0,168,4,85
1,1290.4,79,4,1,0,51,4,85
1,1304.8,76,4,1,0,38,4,85
1,1300.0,76,4,1,0,46,4,85
1,1304.0,77,4,1,0,136,4,85
1,1307.2,76,4,1,0,121,4,85
1,1302.4,76,4,1,0,130,4,85
1,1293.6,79,4,1,0,128,4,85
1,1281.6,81,4,1,0,138,4,85
1,1290.4,79,4,1,0,118,4,85
0,1299.2,78,4,1,0,128,4,85
0,1269.6,83,4,1,0,130,4,85
0,1286.4,81,4,1,0,127,4,85
0,1284.0,80,4,1,0,128,4,85
1,1283.2,81,4,1,0,120,4,85
1,1292.0,79,4,1,0,128,4,85
1,1292.8,79,4,1,0,122,4,85
1,1310.4,75,4,1,0,118,4,85
0,1300.8,77,4,1,0,125,4,85
0,1304.0,77,4,1,0,128,4,85
1,1300.8,78,4,1,0,119,4,85
1,1297.6,78,4,1,0,120,4,85
1,1296.0,77,4,1,0,127,4,85
1,1298.4,78,4,1,0,123,4,85
1,1300.8,78,4,1,0,137,4,85
1,1295.2,78,4,1,0,126,4,85
1,1294.4,77,4,1,0,126,4,85
1,1256.8,86,4,1,0,123,4,85
1,1271.2,82,4,1,0,133,4,85
1,1276.0,83,4,1,0,125,4,85
1,1276.0,82,4,1,0,137,4,85
1,1287.2,80,4,1,0,127,4,85
1,1308.0,76,4,1,0,119,4,85
1,1352.0,68,4,1,0,134,4,85
1,1349.6,69,4,1,0,125,4,85
1,1521.6,48,4,1,0,132,4,85
1,1464.8,53,4,1,0,130,4,85
1,1467.2,53,4,1,0,137,4,85
1,1428.0,58,4,1,0,134,4,85
1,1423.2,58,4,1,0,130,4,85
1,1393.6,62,4,1,0,168,4,85
1,1394.4,62,4,1,0,125,4,85
1,1340.0,69,4,1,0,136,4,85
1,1328.8,72,4,1,0,127,4,85
1,1329.6,72,4,1,0,119,4,85
1,1287.2,80,4,1,0,133,4,85
1,1293.6,78,4,1,0,129,4,85
1,1293.6,78,4,1,0,81,4,85
1,1276.8,82,4,1,0,122,4,85
1,1296.0,78,4,1,0,41,4,85
1,1295.2,78,4,1,0,49,4,85
1,1293.6,77,4,1,0,38,4,85
0,1317.6,74,4,3,1,49,4,85
0,1336.0,72,4,3,1,35,4,85
0,1308.0,75,4,3,1,42,4,85
0,1312.8,75,4,3,1,40,4,85
1,1314.4,74,4,1,0,48,4,85
1,1322.4,73,4,1,0,36,4,85
1,1319.2,74,4,1,0,52,4,85
1,1337.6,71,4,1,0,34,4,85
1,1338.4,70,4,1,0,48,4,85
1,1313.6,76,4,1,0,48,4,85
1,1308.8,76,4,1,0,42,4,85
1,1284.8,80,4,1,0,35,4,85
1,1293.6,78,4,1,0,39,4,85
1,1281.6,81,4,1,0,43,4,86
1,1282.4,81,4,1,0,41,4,86
1,1283.2,81,4,1,0,34,4,86
1,1284.0,81,4,1,0,43,4,86
1,1283.2,81,4,1,0,30,4,86
1,1277.6,82,4,1,0,118,4,85
1,1288.0,80,4,1,0,43,4,85
1,1287.2,80,4,1,0,41,4,85
1,1298.4,78,4,1,0,49,4,85
0,1332.8,72,4,3,1,123,4,86
0,1332.0,71,4,3,1,87,4,86
0,1344.8,70,4,3,1,90,4,86
0,1341.6,69,4,3,1,78,4,86
0,1358.4,67,4,3,1,88,4,86
0,1361.6,67,4,3,1,73,4,86
0,1356.8,67,4,3,1,77,4,86
0,1339.2,70,4,3,1,83,4,86
1,1360.0,67,4,2,0,43,4,86
1,1355.2,67,4,2,0,37,4,86
1,1356.8,67,4,2,0,38,4,86
1,1360.0,67,4,2,0,36,4,86
1,1360.0,67,4,2,0,120,4,86
1,1340.8,70,4,2,0,90,4,86
1,1335.2,70,4,2,0,73,4,86
1,1336.0,71,4,2,0,44,4,86
1,1340.8,70,4,2,0,40,4,86
1,1340.8,71,4,2,0,73,4,86
1,1345.6,69,4,2,0,80,4,86
1,1351.2,68,4,2,0,176,4,86
1,1351.2,68,4,2,0,168,4,86
1,1352.0,68,4,2,0,175,4,86
1,1364.8,66,4,2,0,158,4,86
1,1360.8,67,4,2,0,166,4,86
1,1360.0,67,4,2,0,176,4,86
1,1376.8,65,4,2,0,172,4,86
1,1374.4,65,4,2,0,172,4,86
1,1377.6,64,4,2,0,178,4,86
0,1376.0,64,4,2,0,84,4,86
1,1356.0,67,4,2,0,82,4,86
1,1355.2,69,4,2,0,95,4,86
0,1336.0,70,4,2,0,84,4,86
1,1335.2,72,4,2,0,77,4,86
1,1328.8,71,4,2,0,82,4,86
1,1325.6,72,4,2,0,124,4,86
1,1328.0,72,4,2,0,122,4,86
1,1328.8,72,4,2,0,85,4,86
1,1336.8,70,4,2,0,92,4,86
1,1337.6,71,4,2,0,158,4,86
1,1380.8,64,4,2,0,36,4,86
1,1386.4,63,4,2,0,84,4,86
1,1351.2,69,4,2,0,87,4,86
1,1355.2,68,4,2,0,90,4,86
1,1350.4,68,4,2,0,173,4,86
1,1346.4,69,4,2,0,38,4,86
1,1348.0,69,4,2,0,30,4,86
1,1361.6,68,4,2,0,163,4,86
1,1339.2,71,4,2,0,171,4,86
1,1312.8,74,4,2,0,162,4,86
1,1319.2,74,4,2,0,173,4,86
1,1315.2,75,4,2,0,161,4,86
1,1322.4,73,4,2,0,39,4,86
0,1323.2,74,4,2,0,165,4,86
1,1336.8,71,4,2,0,172,4,86
1,1332.8,71,4,2,0,175,4,86
1,1344.8,70,4,2,0,163,4,86
1,1354.4,67,4,2,0,168,4,86
1,1333.6,72,4,2,0,167,4,86
1,1334.4,71,4,2,0,118,4,87
1,1327.2,73,4,2,0,39,4,87
1,1333.6,71,4,0,0,37,4,87
1,1345.6,70,4,0,0,82,4,87
1,1339.2,70,4,0,0,123,4,87
1,1341.6,69,4,0,0,94,4,87
1,1341.6,69,4,0,0,81,4,87
1,1347.2,69,4,0,0,46,4,87
1,1350.4,68,4,0,0,39,4,87
1,1351.2,69,4,0,0,51,4,87
1,1344.8,69,4,2,0,49,4,86
1,1345.6,68,4,2,0,37,4,86
1,1339.2,71,4,2,0,120,4,86
1,1325.6,73,4,2,0,35,4,86
1,1329.6,73,4,2,0,124,4,86
1,1316.0,75,4,2,0,87,4,87
1,1315.2,75,4,2,0,90,4,87
1,1319.2,73,4,2,0,170,4,87
1,1355.2,68,4,0,0,79,4,87
1,1348.8,69,4,0,0,79,4,87
1,1348.0,68,4,0,0,91,4,87
1,1379.2,64,4,0,0,85,4,87
1,1377.6,64,4,0,0,83,4,87
1,1380.8,64,4,0,0,33,4,87
1,1359.2,66,4,0,0,42,4,87
1,1360.0,66,4,0,0,38,4,87
1,1359.2,67,4,0,0,120,4,87
1,1325.6,73,4,0,0,90,4,86
1,1326.4,72,4,0,0,95,4,87
1,1323.2,73,4,0,0,80,4,87
1,1324.0,72,4,0,0,75,4,87
1,1322.4,73,4,0,0,94,4,87
1,1332.8,71,4,0,0,35,4,87
1,1336.8,71,4,0,0,132,4,87
1,1332.0,71,4,0,0,168,4,87
1,1335.2,71,4,0,0,161,4,87
1,1332.0,71,4,0,0,176,4,87
1,1330.4,71,4,0,0,179,4,87
1,1330.4,72,4,0,0,165,4,86
1,1336.8,71,4,0,0,93,4,86
1,1357.6,67,4,0,0,117,4,87
1,1364.8,66,4,0,0,42,4,87
1,1373.6,65,4,0,0,50,4,87
1,1324.0,73,4,0,0,170,4,87
1,1322.4,73,4,0,0,177,4,87
1,1332.0,72,4,0,0,163,4,86
1,1325.6,74,4,0,0,176,4,86
1,1322.4,73,4,0,0,181,4,86
1,1322.4,73,4,0,0,168,4,86
1,1325.6,72,4,0,0,174,4,86
1,1327.2,72,4,0,0,181,4,87
1,1360.8,67,4,0,0,46,4,87
1,1351.2,68,4,0,0,52,4,87
1,1341.6,70,4,0,0,39,4,87
1,1338.4,70,4,0,0,87,4,87
1,1332.0,72,4,0,0,171,4,87
1,1329.6,72,4,0,0,135,4,87
1,1336.0,71,4,0,0,75,4,87
1,1329.6,71,4,0,0,40,4,87
1,1342.4,70,4,2,0,34,4,87
1,1333.6,72,4,2,0,32,4,87
1,1326.4,72,4,2,0,169,4,87
0,1309.6,76,4,2,0,75,4,87
1,1309.6,75,4,2,0,87,4,87
1,1308.8,76,4,2,0,177,4,87
1,1322.4,73,4,2,0,158,4,87
1,1328.8,71,4,2,0,90,4,86
1,1332.0,72,4,2,0,49,4,86
1,1330.4,71,4,2,0,132,4,86
1,1323.2,73,4,2,0,173,4,87
1,1309.6,75,5,2,0,84,4,87
1,1307.2,76,5,2,0,89,4,87
1,1306.4,76,5,2,0,41,4,87
1,1318.4,74,5,2,0,42,4,87
1,1313.6,75,5,2,0,35,4,87
1,1331.2,72,5,2,0,37,4,87
1,1330.4,72,5,2,0,34,4,87
1,1332.0,72,5,2,0,48,4,86
1,1356.8,67,5,2,0,41,4,86
1,1354.4,67,4,2,0,48,4,86
1,1372.0,65,4,2,0,46,4,86
1,1376.0,65,4,2,0,30,4,86
1,1379.2,65,4,2,0,49,4,86
1,1387.2,63,4,2,0,36,4,86
1,1380.8,64,4,2,0,49,4,86
1,1384.0,63,4,2,0,33,4,86
1,1372.8,64,4,2,0,31,4,86
1,1354.4,67,5,2,0,50,4,86
1,1360.0,67,5,2,0,35,4,86
0,1354.4,67,5,2,0,36,4,86
1,1352.0,68,5,2,0,46,4,86
1,1356.0,68,5,2,0,32,4,86
1,1344.8,69,5,2,0,49,4,86
1,1350.4,69,5,2,0,39,4,86
1,1348.0,69,5,2,0,43,4,86
1,1348.0,69,5,2,0,39,4,86
1,1355.2,67,5,2,0,31,4,86
1,1350.4,69,4,2,0,35,4,86
1,1347.2,69,4,2,0,32,4,86
1,1347.2,68,4,2,0,48,4,86
1,1359.2,67,4,2,0,44,4,86
1,1336.0,70,4,2,0,34,4,86
1,1330.4,72,4,2,0,158,4,86
1,1337.6,71,4,2,0,92,4,86
1,1344.8,69,4,2,0,42,4,86
1,1340.0,70,4,2,0,169,4,86
1,1339.2,70,4,2,0,43,4,86
1,1337.6,71,4,2,0,39,4,86
1,1335.2,70,4,2,0,38,4,86
1,1334.4,71,4,2,0,117,4,86
1,1336.0,71,4,2,0,134,4,86
1,1335.2,71,4,2,0,33,4,86
1,1331.2,72,4,2,0,42,4,86
1,1342.4,70,4,2,0,167,4,86
1,1338.4,70,4,2,0,176,4,86
1,1336.8,70,4,2,0,159,4,86
1,1338.4,70,4,2,0,177,4,86
1,1351.2,69,4,2,0,138,4,86
1,1344.8,69,4,2,0,127,4,86
1,1350.4,69,4,2,0,130,4,86
1,1340.8,71,4,2,0,120,4,87
1,1340.0,70,4,2,0,179,4,87
1,1340.8,70,4,2,0,133,4,87
1,1339.2,71,4,2,0,128,4,87
1,1325.6,71,4,2,0,131,4,87
1,1344.0,70,4,2,0,119,4,87
1,1325.6,71,4,2,0,138,4,88
1,1329.6,72,4,0,0,44,4,87
1,1336.0,72,4,0,0,166,4,87
1,1330.4,72,4,0,0,174,4,87
1,1340.0,71,4,0,0,175,4,87
1,1343.2,69,4,0,0,171,4,87
1,1345.6,69,4,0,0,49,4,87
1,1344.0,70,4,0,0,35,4,87
1,1339.2,70,4,0,0,174,4,87
1,1329.6,71,4,0,0,92,4,87
1,1333.6,72,4,0,0,79,4,87
1,1335.2,71,4,0,0,166,4,87
1,1340.0,71,4,0,0,176,4,87
1,1336.0,70,4,0,0,134,4,87
1,1340.8,70,4,0,0,48,4,87
1,1336.8,70,4,0,0,171,4,87
1,1337.6,70,4,0,0,161,4,87
1,1344.0,70,4,0,0,84,4,86
1,1352.8,68,4,0,0,36,4,86
1,1355.2,68,4,0,0,164,4,86
1,1348.8,68,4,0,0,83,4,86
1,1339.2,70,4,0,0,48,4,86
1,1344.8,70,4,0,0,45,4,86
1,1332.8,71,4,0,0,41,4,86
1,1340.8,70,4,0,0,177,4,86
1,1345.6,70,4,0,0,165,4,86
1,1331.2,72,4,0,0,174,4,86
1,1329.6,73,4,0,0,174,4,86
1,1328.0,73,4,0,0,87,4,86
1,1326.4,73,4,0,0,84,4,86
1,1328.8,72,4,0,0,34,4,86
1,1329.6,71,4,0,0,32,4,86
1,1351.2,69,4,0,0,176,4,86
1,1356.0,67,4,0,0,171,4,86
1,1344.8,69,4,0,0,172,4,86
1,1339.2,70,4,0,0,169,4,86
1,1353.6,68,4,0,0,131,4,86
1,1340.8,70,4,0,0,129,4,86
1,1340.0,69,4,0,0,161,4,86
1,1341.6,70,4,0,0,133,4,86
1,1342.4,70,4,0,0,30,4,86
1,1336.0,70,4,0,0,158,4,86
1,1336.0,70,4,0,0,31,4,87
1,1325.6,72,4,0,0,115,4,86
1,1332.0,72,4,0,0,133,4,86
1,1331.2,72,4,0,0,35,4,86
1,1326.4,72,4,0,0,169,4,86
1,1332.8,72,4,0,0,118,4,86
1,1330.4,72,4,2,0,132,4,86
1,1330.4,71,4,2,0,92,4,86
1,1325.6,73,4,2,0,86,4,86
1,1326.4,74,4,2,0,86,4,86
0,1327.2,73,4,2,0,77,4,87
0,1324.0,72,4,2,0,122,4,87
1,1337.6,70,4,2,0,85,4,87
1,1349.6,69,4,2,0,158,2,87
1,1324.0,73,4,2,0,120,2,86
1,1329.6,72,4,2,0,120,1,86
1,1327.2,72,4,2,0,117,1,86
1,1331.2,72,4,2,0,131,1,86
1,1333.6,71,4,2,0,117,1,86
1,1316.0,74,4,2,0,118,1,86
1,1318.4,74,4,2,0,124,1,86
1,1302.4,77,4,2,0,124,1,86
1,1302.4,77,4,2,0,31,1,87
1,1319.2,74,4,2,0,41,1,87
1,1319.2,74,4,2,0,93,1,87
1,1333.6,71,4,2,0,159,1,87
0,1335.2,70,4,4,1,46,1,87
0,1332.8,71,4,4,1,35,1,87
1,1328.0,72,4,2,0,45,1,87
1,1329.6,71,4,2,0,92,1,87
1,1350.4,68,4,0,0,169,2,87
1,1348.0,69,4,0,0,180,2,86
1,1347.2,69,4,0,0,137,2,86
1,1343.2,69,4,0,0,78,2,86
1,1357.6,68,4,0,0,163,2,86
1,1356.0,67,4,0,0,126,2,86
1,1357.6,68,4,0,0,172,2,86
1,1360.8,67,4,0,0,45,2,86
1,1358.4,67,4,0,0,34,2,86
1,1357.6,68,4,0,0,135,2,86
1,1342.4,70,4,0,0,45,2,86
1,1332.8,71,4,2,0,46,2,86
0,1346.4,69,4,4,1,34,2,86
0,1330.4,71,4,4,1,162,2,86
0,1330.4,71,4,4,1,34,4,86
0,1328.8,71,4,4,1,32,4,86
1,1344.8,70,4,2,0,130,4,86
1,1357.6,67,4,2,0,38,4,86
1,1368.0,66,4,2,0,76,4,86
1,1346.4,69,4,2,0,38,4,86
1,1371.2,66,4,2,0,169,4,86
1,1344.0,69,4,2,0,50,4,86
1,1340.0,69,4,2,0,45,4,86
1,1350.4,69,4,2,0,47,4,86
1,1348.0,68,5,2,0,49,4,86
1,1336.0,71,5,2,0,167,4,86
1,1353.6,68,5,2,0,174,4,86
1,1363.2,66,5,2,0,172,4,86
1,1361.6,67,5,2,0,176,4,86
1,1364.0,67,5,2,0,164,4,86
1,1359.2,67,5,2,0,178,4,86
1,1338.4,70,5,2,0,171,4,86
1,1339.2,70,5,2,0,128,4,86
1,1344.8,70,5,2,0,123,4,86
0,1344.0,70,5,2,0,171,4,86
0,1343.2,70,5,2,0,43,4,86
1,1346.4,68,5,2,0,166,4,86
1,1341.6,71,5,2,0,46,2,86
1,1341.6,70,5,2,0,50,2,86
1,1348.8,68,5,2,0,93,2,86
1,1354.4,68,4,2,0,134,2,86
1,1348.0,68,4,2,0,44,2,86
1,1344.0,69,4,2,0,77,4,86
1,1344.8,70,4,2,0,164,4,86
1,1346.4,69,4,2,0,79,4,86
1,1345.6,69,4,2,0,81,4,86
1,1344.0,69,4,2,0,120,4,86
1,1341.6,70,4,2,0,79,4,86
1,1344.0,69,4,2,0,77,4,86
1,1313.6,74,4,2,0,160,4,86
1,1334.4,70,5,2,0,80,2,86
1,1346.4,69,5,2,0,137,2,86
1,1343.2,69,5,2,0,168,2,87
1,1348.0,69,5,2,0,162,2,86
1,1332.0,71,5,2,0,32,2,87
1,1337.6,71,4,2,0,86,2,87
1,1335.2,72,4,2,0,126,2,87
1,1331.2,71,4,2,0,88,2,87
1,1332.8,71,4,2,0,174,2,87
1,1339.2,71,4,0,0,174,2,87
1,1331.2,72,4,0,0,126,2,87
1,1328.8,72,4,0,0,39,2,87
1,1325.6,72,4,0,0,163,2,87
1,1327.2,73,4,0,0,78,2,87
1,1316.0,74,4,0,0,175,2,87
1,1319.2,74,4,0,0,165,2,87
1,1316.0,74,4,0,0,75,2,87
1,1310.4,76,4,0,0,177,2,87
1,1314.4,75,4,0,0,118,2,87
0,1308.0,76,4,0,1,178,2,87
1,1310.4,76,4,0,0,165,2,87
1,1301.6,78,4,0,0,177,2,87
1,1297.6,77,4,0,0,159,2,87
1,1302.4,77,4,0,0,33,2,87
1,1305.6,77,4,0,0,40,2,87
1,1316.0,73,4,0,0,46,2,87
1,1320.0,74,4,0,0,84,2,87
1,1321.6,74,4,0,0,94,2,87
1,1329.6,71,4,0,0,77,2,87
1,1344.0,69,4,0,0,177,2,87
1,1348.8,69,4,0,0,159,2,87
1,1342.4,70,4,0,0,79,2,87
1,1340.8,70,4,0,0,87,2,86
1,1332.8,70,4,0,0,161,2,86
1,1332.0,71,4,0,0,30,2,86
1,1333.6,71,4,0,0,161,2,87
1,1319.2,74,4,0,0,44,2,87
1,1314.4,75,4,0,0,79,1,87
1,1309.6,75,4,0,0,43,1,87
1,1311.2,75,4,0,0,30,1,87
1,1309.6,75,4,0,0,31,1,87
1,1308.8,76,4,0,0,120,1,87
1,1310.4,76,4,0,0,86,1,87
1,1303.2,76,4,0,0,122,1,87
1,1293.6,78,4,0,0,42,1,87
1,1295.2,78,4,0,0,78,1,87
1,1296.8,78,4,0,0,126,1,87
1,1303.2,76,4,0,0,131,1,87
1,1304.0,77,4,0,0,73,1,87
1,1294.4,78,4,0,0,168,1,87
1,1300.8,78,4,0,0,165,1,87
1,1294.4,80,4,0,0,164,1,87
1,1291.2,79,4,0,0,79,1,87
1,1297.6,78,4,0,0,176,1,87
1,1300.8,78,4,0,0,132,1,87
1,1298.4,78,4,0,0,173,1,87
1,1306.4,76,4,0,0,127,1,87
1,1296.0,79,4,0,0,125,1,87
1,1290.4,78,4,0,0,124,1,87
1,1296.8,77,4,0,0,127,1,87
1,1303.2,77,4,0,0,121,1,87
1,1310.4,75,4,0,0,122,1,87
1,1296.8,77,4,0,0,133,1,87
1,1314.4,75,4,0,0,129,1,87
1,1310.4,75,4,0,0,127,1,87
1,1336.0,71,4,0,0,128,1,86
1,1328.0,72,4,0,0,118,1,86
1,1327.2,73,4,0,0,132,1,86
1,1324.8,72,4,0,0,135,1,86
1,1329.6,71,4,0,0,115,1,86
1,1305.6,76,4,0,0,130,1,86
1,1320.0,73,4,0,0,119,1,87
1,1324.8,73,4,0,0,135,1,87
1,1319.2,74,4,0,0,123,1,87
1,1313.6,75,4,0,0,132,1,86
1,1309.6,75,4,0,0,134,1,86
1,1331.2,72,4,0,0,122,1,86
1,1348.8,69,4,0,0,119,1,86
1,1382.4,63,4,0,0,131,1,86
1,1397.6,61,4,0,0,125,1,86
1,1381.6,64,4,0,0,131,1,86
1,1382.4,64,4,0,0,126,1,86
1,1380.0,64,4,0,0,129,1,86
1,1382.4,64,4,0,0,117,1,86
1,1352.0,67,4,0,0,131,1,86
1,1395.2,62,4,0,0,115,1,86
1,1391.2,62,4,0,0,134,1,86
1,1427.2,58,4,0,0,122,1,86
1,1380.0,65,4,0,0,131,1,86
1,1392.8,62,4,0,0,122,1,86
1,1390.4,62,4,0,0,123,1,86
1,1361.6,66,4,0,0,131,1,86
1,1362.4,66,4,0,0,116,1,86
1,1367.2,66,4,0,0,135,1,86
1,1367.2,65,4,0,0,133,1,86
1,1368.0,66,4,0,0,124,1,86
1,1382.4,64,4,0,0,119,1,86
1,1403.2,61,4,0,0,116,1,86
1,1376.8,65,4,0,0,129,1,86
1,1374.4,64,4,0,0,122,1,86
1,1379.2,64,4,0,0,126,1,86
1,1366.4,66,4,0,0,123,1,86
1,1369.6,66,4,0,0,130,1,86
1,1364.8,66,4,0,0,116,1,86
1,1367.2,65,4,0,0,121,1,86
1,1380.0,64,4,0,0,131,1,86
1,1378.4,64,4,0,0,133,1,86
1,1384.0,63,4,0,0,121,1,86
1,1395.2,62,4,0,0,130,1,86
1,1392.8,62,4,0,0,121,1,86
1,1381.6,64,4,0,0,117,1,86
1,1362.4,66,4,0,0,124,1,86
1,1362.4,66,4,0,0,117,1,86
1,1372.0,65,4,0,0,130,1,86
1,1383.2,64,4,0,0,135,1,86
1,1352.8,68,4,0,0,125,1,86
1,1336.0,71,4,0,0,36,1,86
1,1316.8,73,4,0,0,32,1,86
1,1326.4,72,4,0,0,35,1,86
1,1352.0,68,4,0,0,50,1,86
1,1355.2,68,4,0,0,40,1,86
1,1366.4,67,4,0,0,47,1,86
1,1360.8,66,4,0,0,37,1,86
1,1363.2,66,4,0,0,48,1,86
1,1364.8,67,4,0,0,50,1,86
1,1364.0,67,4,0,0,43,1,86
1,1355.2,67,4,0,0,35,1,86
1,1332.0,72,4,0,0,44,1,86
1,1332.8,71,4,0,0,38,1,86
1,1336.0,71,4,0,0,46,1,86
1,1345.6,69,4,0,0,39,1,86
1,1363.2,67,4,0,0,45,1,86
1,1342.4,70,4,0,0,45,1,86
1,1320.0,74,4,0,0,44,1,86
1,1313.6,75,4,0,0,49,1,86
1,1306.4,75,4,0,0,37,1,86
1,1308.8,75,4,0,0,33,1,86
